PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,CURRENT|1
9.280323662206799,-1.4238917014296173,1.971166752220758,2.4328846148524104,-0.3320385239404137,-1.1935724571786137,0.7067310648259023,-0.7208752542959862,-0.18912666218331242,0.05479178262092225,0.2356995002399287,-0.273438
9.280179168812715,-1.4230194716980422,1.9708714495216408,2.435125815380405,-0.33219871500619336,-1.193610135312627,0.7073928265283239,-0.7214242867785045,-0.18599592988135993,0.055660275432521625,0.23440904983147204,-0.27832
9.280484583877023,-1.4238175659465955,1.968673827844353,2.4331573757130105,-0.331671295921876,-1.193451122469673,0.7070922964834777,-0.7212955527314365,-0.19020743184398833,0.05806812162817243,0.23554235483885855,-0.27832
9.279752352558408,-1.4245532177796045,1.9712435728360305,2.433148265083424,-0.33215710249085273,-1.1955819294685968,0.7043004334506503,-0.7210691013992857,-0.1901811881715465,0.054319303343067976,0.2352975053351137,-0.273438
9.28003389143843,-1.4237196829637422,1.9710136121848396,2.433261755326539,-0.33167199165658856,-1.1943489273154833,0.7054652446418025,-0.7230093133301035,-0.1896720133591019,0.05521542128084693,0.23583350827351188,-0.27832
9.280765232521427,-1.4232111105257437,1.9707387188571384,2.431045870985046,-0.33132883426293724,-1.193086789736675,0.7065264670993898,-0.7209691872144233,-0.1920285260756649,0.05403852620346112,0.23656754404066402,-0.273438
9.280461377316211,-1.4231702883595232,1.9708348382859544,2.4330602288147576,-0.3317679474999463,-1.1933062855859093,0.7070071958454806,-0.7212547391724166,-0.1890069194602298,0.0548639768678626,0.23548207255647732,-0.273438
9.280073784243056,-1.4251885556000619,1.971772072682433,2.43259545156154,-0.3326490479666619,-1.194209381852925,0.7061103685580833,-0.7199514498072538,-0.18935997897147477,0.05432973893076802,0.23578063709927985,-0.273438
9.280494041638086,-1.4229949427306001,1.9707178744144476,2.4331782840501153,-0.3318256294649508,-1.1935405269344828,0.7068047859379567,-0.7209222680108388,-0.18904725321643864,0.0545453134411134,0.23517162183985926,-0.273438
9.279793180031259,-1.4217101650215331,1.9725025638665916,2.432829605580374,-0.3338256079431751,-1.1931745373924416,0.7064227505574298,-0.7195466360531364,-0.18339677463104134,0.05675053675986076,0.22954070315233807,-0.273438
9.280059244335096,-1.4203341190883298,1.9718706887141157,2.4331267903983136,-0.3331990326458363,-1.1925067587071485,0.7070743799189423,-0.720506446111911,-0.1831497116241617,0.05720941330650172,0.22943650842730276,-0.273438
9.279919017475082,-1.4245044109636875,1.9713578683321706,2.4331191706721667,-0.33203759426241236,-1.1946784339357612,0.7051879687723619,-0.7225452254820555,-0.18978079584372937,0.05487714475890039,0.23571840098341484,-0.273438
9.279688985055406,-1.426352812591369,1.9697798221144658,2.4329396840164383,-0.3323076424548158,-1.1949262024474376,0.7052205911931757,-0.7224686644011533,-0.19102083261558517,0.05780588137218487,0.2356250185475553,-0.273438
9.279914247266536,-1.4245118966991404,1.9687551831311638,2.433400568954558,-0.3317160097861614,-1.1954582687452513,0.7046152532199881,-0.7214708814050623,-0.19130015460908956,0.057871001268023976,0.23552461282729506,-0.273438
9.27972533850248,-1.4246004071655614,1.9690661045386075,2.4353816321631143,-0.3321081857876212,-1.194746342659272,0.7060554616411165,-0.7232952488406252,-0.18781914164017,0.058995473515291205,0.23449434379808623,-0.273438
9.280461377316211,-1.4231702883595232,1.9708348382859544,2.4330602288147576,-0.3317679474999463,-1.1933062855859093,0.7070071958454806,-0.7212547391724166,-0.1890069194602298,0.0548639768678626,0.23548207255647732,-0.27832
9.280948131534434,-1.4223241338412982,1.9703169347664484,2.431232193812625,-0.33098625690290606,-1.1928442488894149,0.7067303611340175,-0.7213085879344692,-0.1919479253000927,0.054367504068283876,0.23671134259248644,-0.273438
9.28050580710279,-1.4222095376192314,1.9702286490388978,2.433320357389145,-0.33153595294001725,-1.1940558866270112,0.7062287313057769,-0.7199794036394812,-0.18935720482310275,0.054608018587197334,0.23522188917018202,-0.273438
9.280060043295478,-1.425246072562856,1.9717711344647235,2.4326118967243686,-0.332709751648058,-1.1942652905262872,0.7061045944954806,-0.7198773742273831,-0.18937840217418805,0.05411062885190611,0.23548009916958274,-0.273438
9.28050993401775,-1.4221578675944972,1.9701825015609367,2.433395107885523,-0.33159786835560895,-1.1942003998319854,0.7061223090647789,-0.7197827252644281,-0.18936868542958887,0.05431585854491122,0.2348941051874962,-0.273438
9.280083423537693,-1.4259037381929798,1.969631297506769,2.432690341732605,-0.33256337988935875,-1.1943930134837808,0.7061561190295292,-0.7199398888305639,-0.1905787617257353,0.05753383231409174,0.2358653167428029,-0.273438
9.280461330804147,-1.423170301120063,1.9708347806506787,2.433060272191007,-0.33176798501902394,-1.1933062817410471,0.7070072350440662,-0.7212547374742793,-0.1890069251149213,0.054863940495740234,0.2354820812084571,-0.273438
9.280666831843796,-1.4213832972585811,1.969825128673914,2.433543879084472,-0.33125446557933813,-1.1938760516465943,0.7064137822209154,-0.7202415472041009,-0.18926374177073504,0.05466808078935553,0.2350218994385423,-0.273438
9.279869714409175,-1.4262247523170606,1.9672719683667992,2.4331896795454435,-0.33186226368823185,-1.194767167975626,0.7055698985021286,-0.7229043718088283,-0.19212410195926022,0.06134323635378134,0.23582764054415992,-0.273438
9.279869799473039,-1.425472646244986,1.9693613670295516,2.433140430653626,-0.3319480008977568,-1.1947086589413418,0.7053937087216408,-0.7227462156843272,-0.19094986774837264,0.05812696015724337,0.23578479136550323,-0.273438
9.280611223485693,-1.4231578650034822,1.9683861088704373,2.433282555714754,-0.33131797120421813,-1.19304761537992,0.7074637722312247,-0.7218771853274929,-0.19006398048870024,0.05843790370714338,0.2356503958244,-0.273438
9.280666878683931,-1.4213832773684356,1.9698252037415909,2.4335438713209148,-0.33125444977917406,-1.1938760540516202,0.7064137556169728,-0.7202415472979898,-0.18926375266039067,0.054668122490806215,0.23502190027253442,-0.273438
9.280311892971165,-1.423766662636043,1.9711102445581778,2.4329020010334443,-0.33202623297966527,-1.1936464457063904,0.706636838088548,-0.7207577077144165,-0.1891613342520349,0.05476029882745438,0.23570655968934964,-0.273438
9.280292695837925,-1.4238198304441612,1.9711356686508925,2.432928852541894,-0.3320990689397175,-1.193704625477968,0.7066215137729868,-0.7206783712310649,-0.1891465304919004,0.05448024967494815,0.23536133976189974,-0.273438
9.280175649062103,-1.4231483264062357,1.9707135152027013,2.433472726392079,-0.3315007343400377,-1.1941814820244339,0.7057057613480057,-0.7232702703403591,-0.18955701048712026,0.055035874979032576,0.2353080408082633,-0.273438
9.27994601023078,-1.4240920554950838,1.9711879755533992,2.433194693395493,-0.33176628726178237,-1.194269370136618,0.7056053442183627,-0.7231506901479035,-0.1896322763337986,0.05500584922185861,0.23548360909422886,-0.273438
9.28000066765634,-1.4262623880862728,1.9698366589263745,2.432564745831305,-0.33257569683112814,-1.194132810942018,0.7064344731730846,-0.720333711919695,-0.1904950735823207,0.05761069717994269,0.23581505376255352,-0.273438
9.280487313984192,-1.4230578935770877,1.9707703640983425,2.433097814093092,-0.3317688069869299,-1.1933880803163701,0.7069196468845065,-0.7211353150009818,-0.18903126650035895,0.05484069672467283,0.23549808066114633,-0.273438
9.280000166241246,-1.4246091951569961,1.968964025817422,2.4333261405361237,-0.3316724043637093,-1.1944983583711692,0.7055991227332423,-0.7230508200273635,-0.19086130962233822,0.05817177146441328,0.2355593646891335,-0.273438
9.279786331889376,-1.4232678368058096,1.9709003412415393,2.4354662717205406,-0.331986848079246,-1.19437396868793,0.7062484890394173,-0.7235998873906605,-0.18650904874576638,0.05560744730955119,0.23385403980154093,-0.273438
9.280154995145121,-1.4245412329719598,1.9714676174452002,2.4327532298344954,-0.33236963575593614,-1.1939707938917814,0.7063453649324117,-0.7202988857747438,-0.18926627791088874,0.05440807658301007,0.23557876543830353,-0.273438
9.28050219283028,-1.4230072192456855,1.9707500727878862,2.4330849395246754,-0.3316868999261432,-1.1933325497524265,0.7069274390951091,-0.721218041407092,-0.18903188986177927,0.055114998475631075,0.23583955279692326,-0.273438
9.280017144541402,-1.426014760267532,1.9697100871604096,2.4326268540559277,-0.3325544777144601,-1.1942954601720455,0.7062454234382161,-0.7200775550953642,-0.1905602471532652,0.057552138594713434,0.23583903461128486,-0.273438
9.280211780366514,-1.4252528317245101,1.9693447705241272,2.4327957897209793,-0.33222419749109255,-1.193978925213092,0.7065435529931438,-0.7205345017232,-0.19044496811522055,0.05791257970655579,0.2359757708726467,-0.273438
9.280386605297704,-1.4229967891038815,1.9705779633461211,2.4331918127173435,-0.3318925376539391,-1.194388041228656,0.7059439632079205,-0.7195187000277111,-0.18945179599068435,0.05426397085103974,0.2351030509231637,-0.273438
9.280073329147005,-1.4251790588631101,1.9691603707164294,2.432869605194332,-0.3323347837395284,-1.1949710758642618,0.7055612034568635,-0.7189197667238894,-0.19087585575150984,0.057327642952513615,0.23557179378261606,-0.273438
9.280083423537693,-1.4259037381929798,1.969631297506769,2.432690341732605,-0.33256337988935875,-1.1943930134837808,0.7061561190295292,-0.7199398888305639,-0.1905787617257353,0.05753383231409174,0.2358653167428029,-0.273438
9.279991175777964,-1.426127157268211,1.9697745385722498,2.432589303408791,-0.3325536461223053,-1.1942136584178316,0.706332993776779,-0.7201969769887708,-0.19053591046373347,0.057575403520783254,0.23582303315154818,-0.273438
