0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2.554318,-0.7714376,0.70948446,-0.008991625,0.8018466,0.69298077,0.60481733,2.311956,1.178573,0.97087044,-2.2917686,-1.4089445,-1.604975,0.41641492,1.0079513,-0.9491925,2.2698889,-1.1938812,1.0008339,-0.980802,-0.074803695,-0.10369203,-0.15484007,-2.7157884,-3.1513782,0.9111498,-2.1795936,0.6217677,0.44851616,1.2761792,2.035645,-1.8112955
2.5547273,-0.7711231,0.710302,-0.009485431,0.8022262,0.69344074,0.60469824,2.3119192,1.1786755,0.9707353,-2.2913272,-1.4087753,-1.604937,0.41591805,1.0073553,-0.9496143,2.2707083,-1.193511,1.0016036,-0.980193,-0.07435042,-0.10477812,-0.15412904,-2.7155032,-3.152038,0.91194665,-2.1798503,0.6214329,0.44860703,1.2760084,2.0360203,-1.8111192
2.554199,-0.7715296,0.70979774,-0.009147964,0.8018025,0.69321144,0.6046756,2.3118806,1.1784703,0.97050697,-2.2915711,-1.4086226,-1.6048738,0.41615045,1.0076119,-0.94916594,2.2700636,-1.1934276,1.000798,-0.9808861,-0.074490376,-0.10397426,-0.15452899,-2.7154918,-3.15134,0.9116313,-2.1795697,0.62207,0.44863427,1.2755958,2.0357466,-1.8108852
2.55449,-0.77178884,0.70954067,-0.009092338,0.801711,0.6930232,0.6051133,2.312134,1.1781509,0.9709968,-2.2913516,-1.4090387,-1.6048017,0.41674924,1.0079155,-0.9493861,2.2697904,-1.1934999,1.00081,-0.9807809,-0.07500931,-0.103985265,-0.15470538,-2.7159536,-3.151053,0.9106747,-2.1799946,0.6216599,0.4485741,1.2764295,2.0357094,-1.8113134
2.5540075,-0.7712579,0.70959556,-0.008985244,0.8019496,0.6934741,0.6048627,2.3120837,1.1783329,0.97083896,-2.2914412,-1.4087362,-1.6049143,0.41612798,1.0076337,-0.9492084,2.2696702,-1.1936977,1.0005608,-0.9808792,-0.07492018,-0.10379647,-0.15483734,-2.7157905,-3.1509578,0.9108584,-2.179569,0.6221496,0.4486247,1.276281,2.0356224,-1.810867
2.5536215,-0.7715425,0.7095546,-0.008328445,0.8014157,0.69338614,0.6046277,2.3123856,1.1783686,0.9706976,-2.2918305,-1.4085902,-1.6047012,0.41597295,1.0081431,-0.94909084,2.2695436,-1.1937115,1.0002261,-0.9812806,-0.07570058,-0.1036367,-0.15494092,-2.7155743,-3.1509347,0.91080654,-2.1795714,0.6218201,0.44872674,1.2764584,2.0350623,-1.8109126
2.5540555,-0.77175874,0.7098618,-0.009004392,0.8016907,0.6929892,0.60485756,2.312204,1.1784294,0.9704765,-2.2915368,-1.4087468,-1.6045924,0.41635793,1.0079124,-0.949442,2.2695353,-1.1933585,1.0005352,-0.9809147,-0.075142555,-0.1041348,-0.15490586,-2.7158606,-3.1510615,0.91093385,-2.1796808,0.62165725,0.44858164,1.2761343,2.0351825,-1.8110561
2.5543249,-0.770237,0.7103426,-0.009959597,0.80238754,0.6938117,0.60446835,2.311739,1.1788472,0.9706932,-2.2913373,-1.4087955,-1.6050842,0.41524547,1.006936,-0.94929886,2.2706187,-1.1934916,1.0016103,-0.98028034,-0.0739836,-0.105015054,-0.15401077,-2.715355,-3.151816,0.9122223,-2.1794083,0.6217968,0.44854835,1.2756152,2.0364997,-1.811029
2.5545917,-0.77129483,0.7108859,-0.009815704,0.80162555,0.6938149,0.603964,2.3116827,1.1787504,0.9700688,-2.2916303,-1.4082233,-1.6055182,0.41529417,1.006482,-0.94890225,2.2713056,-1.1930456,1.001261,-0.9808964,-0.0729978,-0.10520704,-0.15374938,-2.7150304,-3.1524005,0.9137531,-2.1796541,0.6223419,0.4481636,1.2748637,2.0362794,-1.8108228
2.5541222,-0.7718656,0.70959,-0.009179283,0.8008834,0.6931646,0.6047978,2.3119075,1.1781037,0.9708775,-2.2916434,-1.4089702,-1.6050186,0.4165302,1.007578,-0.94898105,2.2695055,-1.193572,1.0004144,-0.98129004,-0.07432538,-0.10394628,-0.15479869,-2.7161422,-3.1508825,0.911437,-2.1798959,0.6222499,0.44810942,1.2762122,2.0352914,-1.8117266
