PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,target
-13.308827,3.0028589,-2.8035283,1.1749463,0.90355295,-0.29917854,-0.30322415,-0.35232097,-0.5893819,0.3036542,-0.13672054,0.05267355,0.18777697,0.88854045
-13.308793,3.0035684,-2.8022666,1.1755131,0.9037444,-0.29866266,-0.30400157,-0.35203522,-0.5879617,0.30338663,-0.13691834,0.052661568,0.18804358,0.88854045
-13.30899,3.0017583,-2.802909,1.1752241,0.9048608,-0.29896674,-0.30315536,-0.35255075,-0.58926165,0.30535734,-0.13409781,0.053019032,0.1867948,0.88854045
-13.30898,3.0015495,-2.8032126,1.1752131,0.9049675,-0.2992277,-0.30355865,-0.35235614,-0.5885746,0.30534643,-0.13444468,0.05325837,0.186985,0.88854045
-13.308896,3.0022924,-2.801899,1.1757432,0.905119,-0.29864314,-0.3042994,-0.3520743,-0.58727497,0.30524218,-0.13454702,0.053328764,0.18720697,0.88854045
-13.308958,3.0011966,-2.803743,1.1750495,0.9050346,-0.29950958,-0.30373055,-0.35226822,-0.588293,0.30545348,-0.13458785,0.053378474,0.1870154,0.88854045
-13.308909,3.0034182,-2.802702,1.1751505,0.90340036,-0.29864216,-0.3026536,-0.35256973,-0.59035975,0.30354518,-0.13621113,0.052297574,0.18751235,0.88854045
-13.308892,3.0021393,-2.8021164,1.1757079,0.9052116,-0.2988428,-0.3046254,-0.3518846,-0.58676225,0.30537862,-0.13475153,0.053631037,0.18722378,0.88854045
-13.308917,3.003476,-2.8025975,1.1752259,0.90343577,-0.29866147,-0.3027646,-0.3525502,-0.5901249,0.3034141,-0.13634747,0.052320004,0.18759696,0.88854045
-13.308804,3.0021822,-2.8048782,1.1767758,0.9036185,-0.30050847,-0.30350602,-0.35028177,-0.5891158,0.30079925,-0.13580695,0.053948678,0.18655725,0.88854045
-13.308967,3.0012915,-2.8035936,1.1751095,0.90504724,-0.29947394,-0.30380374,-0.35221958,-0.58818483,0.30546713,-0.13461682,0.053466078,0.18700849,0.88854045
-13.308935,3.00086,-2.8042688,1.1748835,0.9050885,-0.29979104,-0.3039018,-0.35216975,-0.58799887,0.30555153,-0.13475212,0.05347988,0.18712027,0.88854045
-13.308911,3.0025508,-2.8015075,1.1758484,0.9050426,-0.2983934,-0.3040378,-0.35222593,-0.5877011,0.3051185,-0.13435295,0.053117614,0.18714248,0.88854045
-13.308967,3.0012915,-2.8035936,1.1751095,0.90504724,-0.29947394,-0.3038038,-0.35221955,-0.58818483,0.30546713,-0.13461682,0.053466078,0.18700849,0.88854045
-13.308842,3.0031235,-2.8031354,1.175043,0.9034727,-0.29893607,-0.30295682,-0.35247332,-0.58980477,0.3035248,-0.13653392,0.05246173,0.1877095,0.88854045
-13.308787,3.0033991,-2.8025098,1.1754763,0.9038374,-0.2988695,-0.3043422,-0.3518342,-0.58743054,0.30352968,-0.13713393,0.052960988,0.1881039,0.88854045
-13.3088875,3.0029528,-2.803382,1.175024,0.9035924,-0.2991537,-0.3032936,-0.35224622,-0.5892759,0.30366713,-0.13672817,0.052742973,0.18772869,0.88854045
-13.308902,3.0032175,-2.802989,1.1751207,0.9035122,-0.2989112,-0.3030262,-0.35239857,-0.5896988,0.3035378,-0.13654155,0.052531153,0.18766133,0.88854045
-13.308897,3.0030577,-2.803218,1.1750923,0.9036053,-0.29910707,-0.30337453,-0.352193,-0.5891529,0.30368286,-0.13676059,0.05283754,0.18772213,0.88854045
-13.308703,3.0035245,-2.8023334,1.1758772,0.90338,-0.29862103,-0.30447978,-0.35401753,-0.5927752,0.30419725,-0.1360273,0.053348552,0.1887408,0.88854045
-13.308708,3.0014055,-2.8032207,1.17581,0.9049962,-0.29944932,-0.30562788,-0.35369426,-0.5905949,0.30611426,-0.13446173,0.054534566,0.18827532,0.88854045
-13.309032,3.0015552,-2.8032036,1.175224,0.90499383,-0.29924226,-0.3035326,-0.35234582,-0.58861,0.30533707,-0.13440886,0.05323608,0.18689989,0.88854045
-13.308819,3.0026567,-2.8038201,1.1749284,0.90365916,-0.29944324,-0.30360526,-0.35214213,-0.58872795,0.30363458,-0.13705286,0.052908774,0.1879233,0.88854045
-13.30921,3.00191,-2.802886,1.1746026,0.90480477,-0.29873818,-0.3010679,-0.3512547,-0.5872726,0.30458176,-0.13408756,0.051757142,0.18550222,0.88854045
-13.309064,3.0022743,-2.802483,1.177019,0.9048869,-0.29913604,-0.3017934,-0.3490399,-0.5863326,0.3017918,-0.13291168,0.053055327,0.18431668,0.88854045
-13.308611,3.0031798,-2.8027048,1.1746517,0.90350837,-0.30051863,-0.30139005,-0.3491912,-0.5881299,0.30106187,-0.13138235,0.05231543,0.19564883,0.88854045
-13.308802,3.0012982,-2.8034453,1.1744089,0.90465504,-0.3009311,-0.30063057,-0.34975034,-0.5891873,0.30271304,-0.12878796,0.05254523,0.19457494,0.88854045
-13.3088045,3.0036962,-2.8020682,1.1755542,0.9037439,-0.29856914,-0.30403435,-0.3519644,-0.5879762,0.30356288,-0.13683051,0.052813366,0.18795066,0.88854045
-13.308879,3.002858,-2.8035312,1.1749641,0.9035798,-0.2991893,-0.3032204,-0.35229486,-0.589384,0.30365348,-0.1366992,0.05265537,0.1877356,0.88854045
-13.308856,3.0031345,-2.8034635,1.1770967,0.9033436,-0.29958895,-0.30271155,-0.35058805,-0.5906112,0.30087316,-0.13496181,0.05361297,0.18609782,0.88854045
-13.309012,3.0021117,-2.8023677,1.175389,0.90479714,-0.2986814,-0.3029669,-0.35265374,-0.5895795,0.3052473,-0.13393277,0.052895483,0.18672363,0.88854045
-13.308536,3.0028226,-2.803196,1.1758649,0.9039342,-0.29941896,-0.30650568,-0.3530964,-0.5892671,0.30438113,-0.137265,0.054232806,0.18946464,0.88854045
-13.308619,3.0028713,-2.8033166,1.1756141,0.9035875,-0.29929906,-0.30531532,-0.3535554,-0.5914292,0.3045702,-0.13664052,0.054066673,0.1889617,0.88854045
-13.308938,3.003204,-2.8026686,1.1730965,0.9036624,-0.2982646,-0.30327618,-0.35425034,-0.5889016,0.30617702,-0.1380944,0.051363196,0.18922947,0.88854045
-13.308893,3.0031226,-2.8031383,1.1750607,0.9034994,-0.29894683,-0.30295306,-0.3524472,-0.589807,0.30352414,-0.13651258,0.05244355,0.18766825,0.88854045
-13.308858,3.0024297,-2.804175,1.1748428,0.9037507,-0.29968625,-0.30383098,-0.35198042,-0.5883435,0.30373943,-0.13721386,0.053080026,0.18793677,0.88854045
-13.308909,3.0032837,-2.802875,1.1752164,0.903542,-0.2989152,-0.3031534,-0.3523668,-0.5894562,0.30339664,-0.13668332,0.05256226,0.18774365,0.88854045
-13.308292,3.0043662,-2.8029943,1.175122,0.902216,-0.30078894,-0.30329376,-0.35042185,-0.59057486,0.29983342,-0.13390926,0.052933883,0.197857,0.88854045
-13.308315,3.0048268,-2.8023105,1.175245,0.9020334,-0.30027452,-0.3026511,-0.3507523,-0.59165484,0.2997293,-0.1333828,0.052487507,0.19764619,0.88854045
-13.308655,3.0025747,-2.8037562,1.1755422,0.9037133,-0.29961455,-0.3056109,-0.3534068,-0.59087855,0.30454838,-0.13692075,0.05419447,0.18907647,0.88854045
-13.308728,3.0009415,-2.8039284,1.1756014,0.9050792,-0.29979116,-0.30573767,-0.35361734,-0.5904081,0.30621308,-0.13456562,0.054548457,0.1883144,0.88854045
-13.30867,3.0020778,-2.802023,1.176286,0.90514904,-0.2988495,-0.30627352,-0.35339695,-0.5894953,0.30616683,-0.13441157,0.054567367,0.18842082,0.88854045
-13.308731,3.0016115,-2.8032684,1.1778884,0.9047615,-0.2998337,-0.30502397,-0.35197195,-0.5920221,0.30349076,-0.13257185,0.055454638,0.18656106,0.88854045
-13.308893,3.0031226,-2.8031383,1.1750607,0.9034994,-0.29894683,-0.30295306,-0.3524472,-0.589807,0.30352414,-0.13651258,0.05244355,0.18766825,0.88854045
-13.308964,3.003596,-2.8020778,1.1732342,0.90358156,-0.29792863,-0.30304146,-0.3543319,-0.5893391,0.30622393,-0.13782,0.051303178,0.18906908,0.88854045
-13.30881,3.0038655,-2.801825,1.175591,0.90365094,-0.29836228,-0.30369377,-0.3521654,-0.58850735,0.3034199,-0.13661492,0.052513942,0.18789022,0.88854045
-13.30886,3.0023916,-2.8042102,1.1748527,0.903781,-0.2997329,-0.30386186,-0.3520138,-0.588225,0.30362803,-0.13730076,0.053020243,0.18802519,0.88854045
-13.308816,3.0039222,-2.8017254,1.1756783,0.90368074,-0.29837728,-0.30381322,-0.35213822,-0.58827955,0.3032766,-0.13675323,0.05253802,0.18797217,0.88854045
-13.308976,3.0013964,-2.8034296,1.1751778,0.9050601,-0.29942733,-0.30388469,-0.35216635,-0.58806187,0.30548286,-0.13464925,0.053560644,0.18700181,0.88854045
-13.308893,3.0031226,-2.8031383,1.1750607,0.9034994,-0.29894686,-0.302953,-0.3524472,-0.589807,0.30352414,-0.13651258,0.052443545,0.18766837,0.88854045
-13.308833,3.0042193,-2.8012838,1.175756,0.9035873,-0.29807696,-0.30350536,-0.3522684,-0.5888252,0.30330986,-0.13644987,0.052390393,0.18781893,0.88854045
-13.308864,3.0002348,-2.8027139,1.1760157,0.90627867,-0.29921147,-0.30546772,-0.35393465,-0.5906725,0.307975,-0.13170785,0.054860696,0.18725805,0.88854045
-13.308754,3.001335,-2.8033366,1.1757557,0.9049975,-0.29943404,-0.30553275,-0.35367876,-0.5907949,0.30627108,-0.13430923,0.054496974,0.18819885,0.88854045
-13.30902,3.002312,-2.8020806,1.175419,0.9046853,-0.29841232,-0.30259436,-0.35282487,-0.59024054,0.30525476,-0.13360229,0.052661907,0.18657453,0.88854045
-13.308833,3.0042193,-2.8012838,1.175756,0.9035873,-0.29807693,-0.30350536,-0.3522684,-0.5888252,0.30330986,-0.13644981,0.052390397,0.18781893,0.88854045
-13.308836,3.0029538,-2.8033786,1.1750062,0.9035657,-0.2991429,-0.30329734,-0.35227233,-0.5892737,0.30366784,-0.1367495,0.052761152,0.18776993,0.88854045
-13.308833,3.0029213,-2.8034272,1.1750252,0.9035788,-0.29920077,-0.3033378,-0.3522945,-0.5891509,0.30350524,-0.13686624,0.052696954,0.18785594,0.88854045
-13.3086815,3.0030658,-2.803012,1.1757423,0.9035681,-0.2991398,-0.30511397,-0.35369474,-0.59168816,0.30431354,-0.1365518,0.05379328,0.18895416,0.88854045
-13.308598,3.0026038,-2.8037133,1.1754981,0.90359753,-0.29946017,-0.30523127,-0.3536701,-0.59149694,0.3044138,-0.1366983,0.05384353,0.18907584,0.88854045
-13.3089485,3.0010936,-2.8039055,1.1749798,0.90502316,-0.29956257,-0.3036499,-0.35232118,-0.58841866,0.30543733,-0.13455537,0.05328639,0.18702157,0.88854045
-13.308902,3.0032175,-2.802989,1.1751207,0.9035122,-0.2989112,-0.3030262,-0.35239857,-0.5896988,0.3035378,-0.13654155,0.052531153,0.18766133,0.88854045
-13.308725,3.0017025,-2.8027792,1.1758877,0.90490276,-0.29914895,-0.30532002,-0.35382444,-0.5911406,0.30614746,-0.13415837,0.054386944,0.18812196,0.88854045
-13.308574,3.0028512,-2.803678,1.1776559,0.90338284,-0.29989734,-0.30476773,-0.35198814,-0.5925799,0.30149114,-0.13507181,0.054740503,0.18753044,0.88854045
-13.308819,3.0026567,-2.8038201,1.1749284,0.90365916,-0.29944324,-0.30360526,-0.35214213,-0.58872795,0.30363458,-0.13705286,0.052908774,0.1879233,0.88854045
-13.308904,3.0032485,-2.8029451,1.1751138,0.90349334,-0.298849,-0.3029942,-0.3523687,-0.58982867,0.30368823,-0.13642672,0.052596997,0.18757267,0.88854045
-13.308914,3.0012925,-2.8035908,1.1750917,0.90502053,-0.29946315,-0.3038075,-0.35224575,-0.5881826,0.30546784,-0.1346381,0.053484257,0.18704985,0.88854045
-13.308984,3.0015886,-2.803152,1.1751872,0.9049538,-0.2991736,-0.30349588,-0.35234976,-0.5887305,0.3055004,-0.1343134,0.053318456,0.18685524,0.88854045
-13.308845,3.0035675,-2.8022695,1.1755309,0.9037712,-0.29867345,-0.3039978,-0.35200912,-0.5879639,0.3033859,-0.136897,0.05264339,0.18800221,0.88854045
-13.308874,3.0019395,-2.8024297,1.1755797,0.9051861,-0.29892504,-0.3044713,-0.35198647,-0.5869934,0.30534923,-0.13469014,0.053448867,0.18723737,0.88854045
-13.308976,3.0013964,-2.8034296,1.1751778,0.9050601,-0.29942733,-0.30388469,-0.35216635,-0.58806187,0.30548286,-0.13464925,0.053560644,0.18700181,0.88854045
-13.308906,3.0011976,-2.80374,1.1750318,0.9050078,-0.2994988,-0.3037343,-0.3522944,-0.5882908,0.30545413,-0.13460913,0.053396653,0.18705676,0.88854045
-13.309097,3.0006068,-2.802349,1.1755258,0.90616375,-0.29878345,-0.30316478,-0.3528114,-0.5889898,0.30691808,-0.1316131,0.053323906,0.18598963,0.88854045
-13.308873,3.0004814,-2.80518,1.1767697,0.9050191,-0.30077344,-0.30388653,-0.3502367,-0.5883585,0.3028658,-0.1334739,0.054707672,0.18571265,0.88854045
-13.308703,3.001776,-2.8025355,1.1748408,0.90488344,-0.3005926,-0.30165517,-0.3493011,-0.5874286,0.3027411,-0.12909886,0.052830826,0.19490515,0.88854045
-13.308611,3.002424,-2.8013716,1.1753111,0.9050222,-0.3000437,-0.3023227,-0.34906793,-0.5862372,0.3026232,-0.12917224,0.05281362,0.19513403,0.88854045
-13.308598,3.0038087,-2.8016982,1.1762724,0.9037196,-0.29855525,-0.30585474,-0.35341293,-0.59038854,0.3042093,-0.13665414,0.053863674,0.18917601,0.88854045
-13.308689,3.0023754,-2.804071,1.1754304,0.903716,-0.2997139,-0.3054534,-0.35348222,-0.59111464,0.30451798,-0.1368379,0.05399661,0.18904807,0.88854045
-13.308906,3.002248,-2.8023157,1.1777111,0.9049637,-0.29927757,-0.30391824,-0.35023138,-0.5883456,0.3027308,-0.13281468,0.05445249,0.1854722,0.88854045
-13.30874,3.0032852,-2.803028,1.1774592,0.90368766,-0.29960942,-0.30405957,-0.3500536,-0.58821315,0.30071455,-0.13566902,0.053976964,0.18662904,0.88854045
-13.308609,3.0017064,-2.8029218,1.1781653,0.9050792,-0.29983568,-0.30623597,-0.35147977,-0.58988816,0.30347246,-0.13311881,0.05579111,0.18696932,0.88854045
-13.308677,3.0029056,-2.8032408,1.1757139,0.9036612,-0.29933566,-0.30546236,-0.35348916,-0.5911423,0.30445862,-0.13677084,0.054099668,0.18901496,0.88854045
-13.308787,3.0033991,-2.8025098,1.1754763,0.9038374,-0.2988695,-0.3043422,-0.3518342,-0.58743054,0.30352968,-0.13713393,0.05296099,0.1881039,0.88854045
-13.308819,3.0039608,-2.8016753,1.1756508,0.9036637,-0.29832667,-0.30376697,-0.35211676,-0.5883992,0.30343354,-0.13664389,0.052601546,0.18788318,0.88854045
-13.308787,3.0033991,-2.8025098,1.1754763,0.9038374,-0.2988695,-0.3043422,-0.3518342,-0.58743054,0.30352968,-0.13713393,0.052960988,0.1881039,0.88854045
-13.308842,3.0031235,-2.8031354,1.175043,0.9034727,-0.29893607,-0.30295682,-0.35247332,-0.58980477,0.3035248,-0.13653392,0.05246173,0.1877095,0.88854045
-13.308807,3.0038269,-2.801875,1.1756183,0.903668,-0.2984129,-0.30374002,-0.35218683,-0.5883877,0.30326295,-0.13672426,0.052450415,0.18797909,0.88854045
-13.308819,3.0039608,-2.8016753,1.1756508,0.9036637,-0.29832667,-0.30376697,-0.35211676,-0.5883992,0.30343354,-0.13664389,0.052601546,0.18788318,0.88854045
-13.308594,3.0028827,-2.8031464,1.174574,0.90360194,-0.30081895,-0.30169797,-0.34906107,-0.5875842,0.3010286,-0.1316857,0.05246305,0.19580208,0.88854045
-13.308641,3.0037396,-2.801875,1.1748382,0.9033291,-0.29997146,-0.30082333,-0.34946603,-0.5891056,0.30095357,-0.13089421,0.051957693,0.19542547,0.88854045
-13.308971,3.001454,-2.8033624,1.1751533,0.90495473,-0.29926336,-0.30348545,-0.35240477,-0.5886828,0.30533278,-0.13441572,0.05317077,0.18699203,0.88854045
-13.308956,3.0003421,-2.8025632,1.1756465,0.9066128,-0.29917338,-0.30492544,-0.3519386,-0.5860282,0.30729663,-0.13247219,0.054217834,0.18646263,0.88854045
-13.308691,3.0023992,-2.8015304,1.1764699,0.9050986,-0.298622,-0.30612564,-0.3535221,-0.58969045,0.30589426,-0.1343632,0.054379687,0.1884353,0.88854045
-13.308682,3.0018008,-2.8026242,1.1759453,0.90488917,-0.29908776,-0.305427,-0.35378152,-0.59098226,0.30617255,-0.13422668,0.054503802,0.18820064,0.88854045
-13.30849,3.0041516,-2.8035254,1.1743507,0.90222806,-0.30083466,-0.30142248,-0.34900612,-0.5882376,0.299182,-0.13407114,0.051800083,0.1966822,0.88854045
-13.308518,3.0038278,-2.8015404,1.175122,0.90364724,-0.29996967,-0.30205762,-0.34895808,-0.58693844,0.3009439,-0.13145572,0.052298218,0.1958776,0.88854045
-13.308749,3.0020583,-2.8022356,1.1760682,0.9048396,-0.29884884,-0.30516165,-0.353907,-0.5914106,0.30604815,-0.13401127,0.05427442,0.18809478,0.88854045
-13.308872,3.0003302,-2.8025641,1.1760757,0.9062913,-0.29917586,-0.30554086,-0.353886,-0.5905643,0.30798864,-0.13173681,0.0549483,0.18725114,0.88854045
-13.308902,3.0032175,-2.802989,1.1751207,0.9035122,-0.2989112,-0.3030262,-0.35239857,-0.5896988,0.3035378,-0.13654155,0.052531153,0.18766133,0.88854045
-13.308918,3.003513,-2.8025522,1.1752105,0.9034131,-0.29860651,-0.30272686,-0.35252106,-0.59025156,0.3035589,-0.13624004,0.05238518,0.18750532,0.88854045
