latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,target,split
0.98892933,0.6044012,0.029768847,1.1388472,1.8694047,-1.5563805,0.029043317,0.11498372,-0.017959043,-1.4575744,0.057782292,-0.96555257,-1.8296716,-1.9035951,0.64156413,1.2574879,-0.30632073,-0.46914017,0.6331575,0.94355243,0.009621941,-0.85638154,-1.4670511,0.587263,1.4267392,0.88854045,train
0.9889197,0.6044073,0.029766023,1.1388302,1.8694068,-1.5563828,0.029050454,0.115003824,-0.017959222,-1.4575661,0.05779074,-0.9655473,-1.829681,-1.9035872,0.6415725,1.2574837,-0.30633038,-0.46915787,0.63315284,0.9435496,0.009625919,-0.85637766,-1.4670608,0.5872634,1.4267495,0.88854045,train
0.9889305,0.6044238,0.02975358,1.138816,1.8694159,-1.5563846,0.029055,0.11501056,-0.017958373,-1.4575444,0.057794616,-0.9655292,-1.829694,-1.9035894,0.6415762,1.2574905,-0.30632597,-0.46917528,0.63317144,0.94353676,0.00960391,-0.85637665,-1.4670626,0.5872509,1.4267315,0.88854045,train
0.9889404,0.60443103,0.029748544,1.1388149,1.869419,-1.5563846,0.029051378,0.11500828,-0.017956942,-1.4575375,0.057793155,-0.96552485,-1.8296943,-1.9035956,0.64157844,1.257495,-0.30631918,-0.46917576,0.6331804,0.9435319,0.00958962,-0.8563777,-1.4670607,0.5872454,1.4267194,0.88854045,train
0.988939,0.6044204,0.02974724,1.1388294,1.869411,-1.5563841,0.02904956,0.11500329,-0.017953783,-1.4575512,0.057787776,-0.96553093,-1.8296877,-1.903597,0.6415806,1.2574903,-0.30632263,-0.4691652,0.6331663,0.943544,0.009599157,-0.8563776,-1.4670538,0.58724934,1.4267268,0.88854045,train
0.9889367,0.6044153,0.029754192,1.1388373,1.8694124,-1.5563828,0.029044658,0.11499038,-0.017955765,-1.4575579,0.05778198,-0.9655362,-1.8296803,-1.9035987,0.6415737,1.2574911,-0.30632395,-0.46915352,0.6331632,0.9435467,0.009603225,-0.85637844,-1.467049,0.5872559,1.4267286,0.88854045,train
0.98893243,0.6044056,0.02977018,1.1388494,1.8694075,-1.5563763,0.029035151,0.11497763,-0.01795724,-1.4575725,0.05777736,-0.9655547,-1.829672,-1.9035943,0.6415671,1.2574927,-0.30632877,-0.46913427,0.63315344,0.9435505,0.009615622,-0.8563793,-1.4670483,0.587267,1.4267358,0.88854045,train
0.9889384,0.6043997,0.029764257,1.1388687,1.8694025,-1.5563773,0.029039696,0.11496051,-0.017957002,-1.457585,0.05777365,-0.96555376,-1.8296624,-1.9036039,0.6415608,1.2574914,-0.3063172,-0.46912205,0.633157,0.9435529,0.009615861,-0.8563816,-1.4670384,0.58725953,1.4267317,0.88854045,train
0.98892754,0.6043995,0.029775798,1.138847,1.8694044,-1.556375,0.029040143,0.114976704,-0.01796095,-1.4575789,0.057780534,-0.96555984,-1.8296701,-1.9035925,0.6415624,1.2574908,-0.30632573,-0.46913344,0.6331531,0.94355017,0.0096251145,-0.85638005,-1.4670507,0.587269,1.4267446,0.88854045,train
0.9889234,0.60440034,0.029778615,1.1388438,1.8694056,-1.556377,0.029041186,0.11498116,-0.017961025,-1.4575771,0.05778283,-0.9655636,-1.8296708,-1.9035884,0.64156306,1.257489,-0.30632865,-0.46913385,0.6331532,0.94354963,0.009627782,-0.8563796,-1.4670552,0.5872706,1.4267458,0.88854045,train
0.98893183,0.6043994,0.02976992,1.1388497,1.869403,-1.5563788,0.0290436,0.114977,-0.017957568,-1.4575778,0.057783052,-0.9655574,-1.8296698,-1.9035951,0.64155877,1.2574883,-0.3063177,-0.46913296,0.6331599,0.943549,0.009621896,-0.8563805,-1.4670517,0.5872638,1.4267396,0.88854045,train
0.98892015,0.6044041,0.029778995,1.1388339,1.8694086,-1.5563775,0.029046163,0.11498627,-0.017961577,-1.4575732,0.057784975,-0.96556187,-1.8296729,-1.9035877,0.6415623,1.2574878,-0.30632865,-0.4691403,0.63315773,0.94354665,0.00962887,-0.85637933,-1.4670601,0.5872725,1.4267449,0.88854045,train
0.9889265,0.6043974,0.029769123,1.1388543,1.8693992,-1.5563813,0.029048964,0.11497958,-0.017955258,-1.4575847,0.057781234,-0.96556014,-1.8296667,-1.9035956,0.64156234,1.2574849,-0.3063193,-0.4691317,0.63315403,0.943555,0.009628467,-0.85638034,-1.4670504,0.58726346,1.426741,0.88854045,train
0.9889286,0.6044024,0.029769763,1.1388516,1.8694044,-1.5563807,0.02904591,0.11497682,-0.017957196,-1.4575796,0.057781607,-0.9655572,-1.8296691,-1.9035945,0.6415612,1.2574874,-0.30632174,-0.46913177,0.63315797,0.94354934,0.009624429,-0.85637957,-1.4670514,0.5872629,1.426738,0.88854045,train
0.9889172,0.60439616,0.029783718,1.1388437,1.8694016,-1.5563773,0.029040828,0.11498371,-0.01795894,-1.4575838,0.057782546,-0.9655718,-1.8296679,-1.9035852,0.64155996,1.2574859,-0.3063319,-0.46912968,0.63314664,0.9435537,0.009638675,-0.85637856,-1.4670587,0.58727753,1.4267528,0.88854045,train
0.9889279,0.6043996,0.02977544,1.1388532,1.8694018,-1.5563757,0.029044256,0.114972144,-0.017958447,-1.4575845,0.05778046,-0.965564,-1.8296669,-1.903593,0.64155626,1.2574893,-0.30632246,-0.46912706,0.6331574,0.94355047,0.009627543,-0.8563805,-1.4670519,0.5872679,1.42674,0.88854045,train
