latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,target,split
0.0,0.0,0.0,1.3062314,0.0,0.0,0.0,0.19474465,0.0,0.0,0.0,0.0,4.2130947,0.0,6.5260105,0.0,0.0,0.0,1.0429972,0.0,0.0,0.0,0.0,0.0,4.642487,0.88854045,train
0.0,0.0,0.0,1.3062187,0.0,0.0,0.0,0.19469628,0.0,0.0,0.0,0.0,4.213296,0.0,6.526601,0.0,0.0,0.0,1.0431465,0.0,0.0,0.0,0.0,0.0,4.6426835,0.88854045,train
0.0,0.0,0.0,1.3063201,0.0,0.0,0.0,0.19542918,0.0,0.0,0.0,0.0,4.2130566,0.0,6.5258913,0.0,0.0,0.0,1.0429528,0.0,0.0,0.0,0.0,0.0,4.6418962,0.88854045,train
0.0,0.0,0.0,1.3060514,0.0,0.0,0.0,0.19548634,0.0,0.0,0.0,0.0,4.21299,0.0,6.525542,0.0,0.0,0.0,1.0429496,0.0,0.0,0.0,0.0,0.0,4.6418614,0.88854045,train
0.0,0.0,0.0,1.3062997,0.0,0.0,0.0,0.19470249,0.0,0.0,0.0,0.0,4.2129908,0.0,6.5259395,0.0,0.0,0.0,1.0429553,0.0,0.0,0.0,0.0,0.0,4.6424813,0.88854045,train
0.0,0.0,0.0,1.305805,0.0,0.0,0.0,0.19546665,0.0,0.0,0.0,0.0,4.212893,0.0,6.5252304,0.0,0.0,0.0,1.0429225,0.0,0.0,0.0,0.0,0.0,4.6418004,0.88854045,train
0.0,0.0,0.0,1.3056678,0.0,0.0,0.0,0.19696909,0.0,0.0,0.0,0.0,4.213645,0.0,6.525257,0.0,0.0,0.0,1.0424318,0.0,0.0,0.0,0.0,0.0,4.641067,0.88854045,train
0.0,0.0,0.0,1.3061062,0.0,0.0,0.0,0.19347839,0.0,0.0,0.0,0.0,4.21121,0.0,6.5232882,0.0,0.0,0.0,1.0422351,0.0,0.0,0.0,0.0,0.0,4.6408424,0.88854045,train
0.0,0.0,0.0,1.3059264,0.0,0.0,0.0,0.19397338,0.0,0.0,0.0,0.0,4.2109823,0.0,6.523021,0.0,0.0,0.0,1.0425075,0.0,0.0,0.0,0.0,0.0,4.6405897,0.88854045,train
0.0,0.0,0.0,1.3061011,0.0,0.0,0.0,0.19493271,0.0,0.0,0.0,0.0,4.213175,0.0,6.5258536,0.0,0.0,0.0,1.0427519,0.0,0.0,0.0,0.0,0.0,4.6421804,0.88854045,train
0.0,0.0,0.0,1.3062795,0.0,0.0,0.0,0.19474307,0.0,0.0,0.0,0.0,4.2131014,0.0,6.526033,0.0,0.0,0.0,1.0429564,0.0,0.0,0.0,0.0,0.0,4.6424866,0.88854045,train
0.0,0.0,0.0,1.3061075,0.0,0.0,0.0,0.19603825,0.0,0.0,0.0,0.0,4.213836,0.0,6.526348,0.0,0.0,0.0,1.0428026,0.0,0.0,0.0,0.0,0.0,4.6421313,0.88854045,train
0.0,0.0,0.0,1.3058894,0.0,0.0,0.0,0.1954394,0.0,0.0,0.0,0.0,4.21302,0.0,6.525655,0.0,0.0,0.0,1.0430382,0.0,0.0,0.0,0.0,0.0,4.641925,0.88854045,train
0.0,0.0,0.0,1.3065605,0.0,0.0,0.0,0.19494355,0.0,0.0,0.0,0.0,4.2132454,0.0,6.526129,0.0,0.0,0.0,1.0426393,0.0,0.0,0.0,0.0,0.0,4.642164,0.88854045,train
0.0,0.0,0.0,1.3066144,0.0,0.0,0.0,0.19475272,0.0,0.0,0.0,0.0,4.213276,0.0,6.526405,0.0,0.0,0.0,1.0429256,0.0,0.0,0.0,0.0,0.0,4.642462,0.88854045,train
0.0,0.0,0.0,1.3061571,0.0,0.0,0.0,0.19338465,0.0,0.0,0.0,0.0,4.212344,0.0,6.5258265,0.0,0.0,0.0,1.0432892,0.0,0.0,0.0,0.0,0.0,4.642989,0.88854045,train
0.0,0.0,0.0,1.3061433,0.0,0.0,0.0,0.1947101,0.0,0.0,0.0,0.0,4.2130904,0.0,6.526089,0.0,0.0,0.0,1.0430365,0.0,0.0,0.0,0.0,0.0,4.6425586,0.88854045,train
0.0,0.0,0.0,1.3064201,0.0,0.0,0.0,0.19475468,0.0,0.0,0.0,0.0,4.213027,0.0,6.5258985,0.0,0.0,0.0,1.0428884,0.0,0.0,0.0,0.0,0.0,4.6424212,0.88854045,train
