0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.010793387,-0.09221188,-2.0455575,0.006309444,-0.10133244,0.018656302,0.07073985,0.15904735,-0.015616648,2.5825472,0.11105072,0.03335241,1.8593633,0.007841583,0.025047116,0.099142626
0.010759375,-0.09200201,-2.045651,0.006207833,-0.10214615,0.018644843,0.07082336,0.15893193,-0.015733674,2.5822265,0.11097127,0.033540502,1.8599845,0.007844943,0.025394857,0.098000795
0.010786484,-0.09209453,-2.04495,0.006354587,-0.10223617,0.018695883,0.0714335,0.15886451,-0.015553005,2.5831146,0.11078422,0.03267265,1.8578914,0.0078862645,0.024732307,0.09904368
0.0107983,-0.09216021,-2.0448794,0.006345894,-0.1018866,0.018686928,0.071318574,0.15879993,-0.015512116,2.58314,0.11055662,0.032840803,1.858017,0.007883357,0.024733305,0.099271744
0.01076674,-0.092008986,-2.0451107,0.006361859,-0.10214566,0.018688213,0.07063929,0.15851541,-0.015670322,2.5828745,0.11108093,0.03318342,1.8586096,0.007859569,0.024948984,0.0995789
0.010759205,-0.0921988,-2.0451005,0.0062979665,-0.10122371,0.01868394,0.07075982,0.15873443,-0.015687097,2.5828035,0.11062686,0.03312017,1.8585954,0.007858752,0.024790294,0.09919569
0.010807203,-0.09224712,-2.0451515,0.006315902,-0.10127427,0.018661752,0.070929736,0.158828,-0.015513144,2.5828555,0.11055677,0.03325013,1.8588182,0.007859972,0.024882838,0.0994395
0.010760428,-0.092098266,-2.045339,0.006350355,-0.10254395,0.018663201,0.07151574,0.15900941,-0.015373509,2.582725,0.11072422,0.03281762,1.8584213,0.007862914,0.024849929,0.09902553
0.010796281,-0.09216523,-2.0452063,0.00631742,-0.10152513,0.018663943,0.07104224,0.15885137,-0.015551988,2.5828025,0.110830516,0.033061225,1.8587918,0.007862816,0.024889313,0.099243656
0.010814114,-0.092100136,-2.0451827,0.0064031854,-0.102350086,0.01868159,0.07077746,0.15877435,-0.015527766,2.583021,0.11097394,0.033387482,1.8586341,0.007859498,0.025049709,0.09974858
0.010813224,-0.0921803,-2.0451531,0.0062167645,-0.10125634,0.018675897,0.07053819,0.158806,-0.015878636,2.5828617,0.11064368,0.0337736,1.8594253,0.007864175,0.025306486,0.0983291
0.010785615,-0.092186674,-2.045226,0.006250033,-0.102045715,0.018672585,0.07088329,0.1589575,-0.015657783,2.5827932,0.11023346,0.033716958,1.859123,0.007859815,0.025252983,0.09832807
0.010826028,-0.09214124,-2.0451021,0.0063807555,-0.10192643,0.018664021,0.0706866,0.15860818,-0.015465446,2.5829906,0.11075656,0.03350978,1.8588654,0.007857468,0.025042608,0.10001737
0.010798386,-0.092193566,-2.0452232,0.006326191,-0.101590544,0.018671937,0.07104244,0.15890421,-0.015567072,2.582887,0.11083258,0.033100992,1.8586513,0.007864032,0.02489809,0.09919098
0.010802101,-0.09209744,-2.0452106,0.0062154513,-0.10152233,0.018677842,0.07065655,0.15880805,-0.015910704,2.582797,0.1109009,0.033581495,1.8593936,0.007867609,0.025306731,0.098134264
0.01077487,-0.092169724,-2.0452693,0.0063422807,-0.10215661,0.018654175,0.07142068,0.15893963,-0.015339598,2.5828042,0.110540435,0.032979034,1.8585196,0.007860899,0.024862297,0.099233896
0.010745561,-0.09208549,-2.0451455,0.006285403,-0.101441875,0.01867763,0.070881106,0.15866004,-0.015696265,2.5826423,0.110864304,0.03288765,1.8587013,0.0078615025,0.024775729,0.09906
0.010759615,-0.092091046,-2.0450912,0.00618379,-0.101209536,0.018689018,0.070366524,0.1586105,-0.01601265,2.5826447,0.11063098,0.033595204,1.859371,0.007861799,0.025179066,0.09816739
0.010763325,-0.09210774,-2.0453393,0.006351294,-0.10250746,0.018663786,0.07152596,0.15901361,-0.015384037,2.582782,0.11077052,0.032822482,1.8583854,0.007863965,0.024863757,0.099003255
0.010810488,-0.0922586,-2.0451484,0.006319331,-0.10122019,0.018662605,0.07093691,0.15885593,-0.015531365,2.5829246,0.11062109,0.033256076,1.858786,0.007860513,0.02490303,0.099411055
0.010771229,-0.092093766,-2.045282,0.0062475875,-0.10235283,0.018673815,0.07099026,0.1589537,-0.015677817,2.582669,0.110438354,0.033520065,1.8591317,0.007862077,0.025238857,0.098158374
0.010796849,-0.092145294,-2.0451941,0.0063068215,-0.10143669,0.018656246,0.0710511,0.15878068,-0.01554076,2.5827608,0.11086039,0.033030048,1.8588947,0.007863275,0.024889328,0.09928028
0.010796006,-0.09192925,-2.045284,0.006392069,-0.1027385,0.018678203,0.07102,0.15870614,-0.015584908,2.582909,0.11153405,0.03299653,1.8586428,0.007867275,0.025062919,0.099401966
0.010760425,-0.092098266,-2.0453389,0.006350359,-0.10254398,0.018663194,0.07151577,0.15900943,-0.015373539,2.582725,0.110724114,0.03281757,1.8584214,0.00786292,0.024849892,0.09902562
0.010750602,-0.092142515,-2.045175,0.0063077863,-0.101531625,0.018693674,0.070886225,0.15880571,-0.015740115,2.5828364,0.11090719,0.032955743,1.8584284,0.0078628585,0.024802633,0.09894256
0.0107601695,-0.09207111,-2.045078,0.006173175,-0.10112114,0.018681295,0.070375316,0.15853965,-0.016001385,2.582603,0.110660516,0.03356372,1.8594736,0.007862259,0.025179148,0.098204
0.010760428,-0.092098266,-2.045339,0.006350355,-0.10254395,0.018663201,0.07151574,0.15900941,-0.015373509,2.582725,0.11072422,0.03281762,1.8584213,0.007862914,0.024849929,0.09902553
0.010798805,-0.092172734,-2.0452116,0.0063158907,-0.101505965,0.018664274,0.07105541,0.15883222,-0.015554622,2.5828447,0.11085932,0.03306547,1.8587528,0.007864381,0.02489695,0.09922755
0.010798762,-0.09210875,-2.045222,0.0062247664,-0.10164349,0.018684912,0.07063344,0.15887575,-0.015912563,2.5827827,0.110827535,0.033611953,1.8593276,0.007866219,0.025293872,0.09812029
0.010795873,-0.092186056,-2.0452187,0.006327728,-0.10160974,0.01867161,0.071029246,0.15892343,-0.015564371,2.5828438,0.11080382,0.03309673,1.8586901,0.007862468,0.024890207,0.09920722
0.010796286,-0.09216526,-2.0452063,0.006317416,-0.101524994,0.018663943,0.07104224,0.15885137,-0.015551973,2.5828025,0.11083048,0.033061247,1.8587917,0.007862814,0.02488929,0.099243656
0.010792639,-0.09217617,-2.0452163,0.0063265394,-0.101650596,0.01867091,0.071017876,0.15891775,-0.015552595,2.5827835,0.11075154,0.033092186,1.8587308,0.007861273,0.024875961,0.099232286
0.010813521,-0.09221282,-2.044796,0.00632694,-0.10140897,0.018670205,0.071235105,0.15866148,-0.015467957,2.583179,0.11040343,0.032969106,1.8582151,0.007881857,0.024746135,0.09951204
0.010762902,-0.09204959,-2.044992,0.006355798,-0.10275386,0.018670578,0.071821086,0.1587902,-0.015301131,2.5829673,0.110485926,0.03252548,1.8578465,0.007884681,0.024685808,0.09913261
0.010761249,-0.09207953,-2.0453227,0.0063426103,-0.10244191,0.018655796,0.0715258,0.15896086,-0.015369028,2.5826986,0.11076879,0.032783024,1.8585265,0.007862755,0.024854936,0.09905575
0.010784338,-0.092101194,-2.0452805,0.0063239485,-0.10189311,0.0186733,0.07115052,0.15890193,-0.015588552,2.5827658,0.111043215,0.032903936,1.8586549,0.007866412,0.024884544,0.09901884
0.010772431,-0.09219559,-2.045608,0.006324064,-0.10187951,0.018638868,0.07113143,0.15906332,-0.015391912,2.582508,0.11078722,0.033234924,1.8591925,0.007839997,0.025019333,0.09916949
0.010804694,-0.09211507,-2.0455177,0.0062979404,-0.10238795,0.018660162,0.07036534,0.1588643,-0.015671413,2.582688,0.11072375,0.034232907,1.8598062,0.007837352,0.025582187,0.09881866
